Field=Description~String~Description~106|Field=Value~String~Value~128|Field=Quantity~Integer~Quantity~54|Field=Designator~String~Designator~148|Field=Manufacturer~String~Manufacturer~112|Field=ProductCode~String~ProductCode~67|Field=VendorCode~String~VendorCode~69|Field=Vendor~String~Vendor~66|Field=Price~String~Price~100|Field=Footprint~String~Footprint~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~eth_a.PrjPCB|ReportField=ProjectFullPath~C:\projects\altium\pcb\xmos_proto_eth_a\eth_a.PrjPCB|ReportField=Title~Bill of Materials For Schematic Document [eth_a.SchDoc]|ReportField=TotalQuantity~87|ReportField=ReportTime~14:40:45|ReportField=ReportDate~27-5-2012|ReportField=ReportDateTime~27-5-2012 14:40:45|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~27-5-2012|ReportField=CurrentTime~14:40:42|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\projects\altium\pcb\xmos_proto_eth_a\eth_a.SchDoc|ReportField=DocumentName~eth_a.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~27-5-2012|ReportField=Organization~|ReportField=ProjectName~eth_a.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~XMOS XS1-L1 DP83848C Ethernet PHY Prototype|ReportField=DataSourceFileName~eth_a.SchDoc|ReportField=DataSourceFullPath~C:\projects\altium\pcb\xmos_proto_eth_a\eth_a.SchDoc
4Mbit SPI Flash||1|U3|ATMEL|AT25DF041A-SSH-B|1715441|Farnell|1,60|SOIC150-8_M
Buck Converter||2|U4, U5|ON SEMICONDUCTOR|NCP1521BSNT1G|1432258|Farnell|1,58|SOT23-5
Buffer (open drain output)||1|U8|TEXAS INSTRUMENTS|SN74LVC1G07DBV|1102969|Farnell|0,47|SOT23-5
Capacitor|100nF|18|C1, C2, C3, C5, C6, C8, C9, C11, C13, C14, C16, C17, C20, C21, C23, C30, C32, C34|MURATA|GRM188R71H104KA93D|8820023|Farnell|0,05|1608[0603]_CAP
Capacitor|10uF|9|C7, C10, C12, C15, C19, C24, C26, C27, C29|AVX|0805ZD106KAT2A|1833812|Farnell|0,12|2012[0805]_CAP
Capacitor|150pF|2|C31, C33|MURATA|GRM1885C1H151JA01D|8819874|Farnell|0,05|1608[0603]_CAP
Capacitor|1uF|1|C4|KEMET|C0603C105K4RACTU|1650837|Farnell|0,17|1608[0603]_CAP
Capacitor|33pF|2|C25, C28|MURATA|GRM1885C1H330JA01D|1828910|Farnell|0,03|1608[0603]_CAP
Crystal Oscillator SMD 5mm x 3.2mm|25 MHz|1|Y1|TXC|7C-25.000MBB-T|1842032|Farnell|3,21|OSC_32_50
Ferrite Bead|600Z|1|FB1|MURATA|BLM18AG601SN1D|1515679|Farnell|0,06|1608[0603]_FB
Header, 2-Pin||3|P1, P2, P3|||||0,00|HDR1X2
Header, 6-Pin||1|P4|||||0,00|HDR1X6
Inductor|2u2H|1|L1|BOURNS|SRR4011-2R2YL|1828153|Farnell|1,04|BOURNS_SRR4011
Inductor|3u3H|1|L2|BOURNS|SRR4011-3R3YL|1828154|Farnell|0,27|BOURNS_SRR4011
Low Voltage Power Supply Connector||1|J3|SWITCHCRAFT|RAPC722X|1608727|Farnell|1,58|KLD-0202
